,,,,,,,,
,rating_type,Other TED,TED,TEDGlobal,TEDMED,TEDSalon,TEDWomen,TEDx
,Beautiful,22,74,25,2,6,6,18
,Confusing,NaN,2,NaN,NaN,NaN,NaN,NaN
,Courageous,12,20,16,4,3,5,25
,Fascinating,36,118,51,5,11,2,40
,Funny,26,79,18,3,8,7,22
,Informative,103,233,146,24,46,16,157
,Ingenious,7,40,25,2,2,1,26
,Inspiring,138,321,147,25,31,58,158
,Jaw-dropping,4,36,10,NaN,NaN,NaN,3
,Longwinded,1,7,NaN,NaN,NaN,NaN,NaN
,OK,2,4,1,NaN,NaN,NaN,NaN
,Obnoxious,NaN,2,NaN,NaN,NaN,NaN,2
,Persuasive,7,27,22,3,5,1,18
,Unconvincing,3,15,2,NaN,1,NaN,2
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
